"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"231183_s_at",0.805912499999999,6.51909375,3.55390094755465,0.0059227927560377,0.999986929681086,-3.57626835175571
"205534_at",0.640362499999998,8.05035875,3.55020221024499,0.0059577615452447,0.999986929681086,-3.57751985603536
"201313_at",-0.650422500000003,8.70760125,-3.54796367244076,0.00597903005245703,0.999986929681086,-3.57827796737369
"201859_at",1.3181825,11.15328375,3.54446892403936,0.00601239276161749,0.999986929681086,-3.57946253685448
"211029_x_at",-0.789655000000002,6.380705,-3.54158618497049,0.00604005938387071,0.999986929681086,-3.58044060243364
"229674_at",0.9823225,6.64043375,3.53759692869139,0.0060785653369103,0.999986929681086,-3.58179549436759
"204339_s_at",1.1560725,9.16725375,3.53104463795649,0.006142368580375,0.999986929681086,-3.58402442000883
"206987_x_at",-0.807585000000003,6.591045,-3.53011969998474,0.00615143142712957,0.999986929681086,-3.58433941503163
"202820_at",0.734834999999999,9.4484675,3.52264008082292,0.00622523457370534,0.999986929681086,-3.58688987985621
"236787_at",-0.552175000000002,7.149305,-3.50973854192729,0.00635471917758147,0.999986929681086,-3.59130263462928
"228810_at",0.522059999999999,8.0308425,3.50658569527572,0.00638678802393971,0.999986929681086,-3.5923836082946
"221252_s_at",0.5119775,5.28958875,3.49869058959817,0.00646783592393185,0.999986929681086,-3.59509497007526
"235821_at",0.8669075,5.17978375,3.48441735815347,0.00661709597172545,0.999986929681086,-3.60001296447449
"242255_at",-0.503660000000001,5.545665,-3.47412100580318,0.00672699749116385,0.999986929681086,-3.60357367002185
"1558945_s_at",-1.2187725,3.50843375,-3.47034603840366,0.00676776649998391,0.999986929681086,-3.6048818649051
"207453_s_at",-0.580802499999999,6.13680375,-3.4581559820541,0.00690118595669133,0.999986929681086,-3.60911626158254
"205893_at",0.918730000000001,6.1247825,3.45423820081243,0.00694464597230481,0.999986929681086,-3.61048040340347
"229809_at",-0.507242500000001,5.01944125,-3.44716572552283,0.00702382508655321,0.999986929681086,-3.61294698035759
"216222_s_at",0.610427499999997,8.54423625,3.44708002399705,0.00702479029892913,0.999986929681086,-3.61297690091419
"202075_s_at",-0.611287499999999,7.44984875,-3.44346632648676,0.00706561560474124,0.999986929681086,-3.61423922066559
"201417_at",-0.883945000000001,10.7822275,-3.43168992069196,0.00720038258481554,0.999986929681086,-3.61836221556397
"242100_at",0.617042499999997,7.75743625,3.43111229841912,0.00720706130314482,0.999986929681086,-3.61856481165958
"227006_at",1.4861425,7.93049625,3.42865748101142,0.00723551704282638,0.999986929681086,-3.61942620068563
"239367_at",0.651844999999998,7.6183875,3.42680154105571,0.00725710840157509,0.999986929681086,-3.62007785650576
"209395_at",-2.7364875,6.81861125,-3.42197299113547,0.00731359710217886,0.999986929681086,-3.62177491170848
"241969_at",0.75952,6.5820775,3.4216409669242,0.00731749820957163,0.999986929681086,-3.62189169393285
"200831_s_at",-0.83587,10.15734,-3.41246252931016,0.00742620238168764,0.999986929681086,-3.62512449611242
"201722_s_at",0.515825000000001,10.7539625,3.40296276832166,0.00754048428472115,0.999986929681086,-3.62847959765053
"236718_at",0.727929999999999,6.7756275,3.37489399683503,0.00788896740848805,0.999986929681086,-3.63844707634872
"229437_at",-1.112755,4.5200825,-3.37090118718165,0.00793988396668017,0.999986929681086,-3.63987154144412
"213183_s_at",-0.7643375,6.09693375,-3.3675757177221,0.00798255133822296,0.999986929681086,-3.64105917889652
