"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"Cluster 4","Clustered","3.4545454545454546","ACSL3","false","ACSL3"
"Cluster 1","Clustered","8.0","ACOX3","false","ACOX3"
"Cluster 1","Clustered","8.0","ACOX1","false","ACOX1"
,"Unclustered","0.0","ACSF2","false","ACSF2"
"Cluster 4","Clustered","3.4545454545454546","ACSL4","false","ACSL4"
"Cluster 4","Clustered","3.238095238095238","ACSL6","false","ACSL6"
,"Unclustered","2.0","ACSF3","false","ACSF3"
,"Unclustered","4.464285714285714","ACADM","false","ACADM"
"Cluster 4","Clustered","3.4285714285714284","AASDH","false","AASDH"
,"Unclustered","0.0","AARSD1","false","AARSD1"
"Cluster 16","Seed","2.0","ADAT1","false","ADAT1"
,"Unclustered","0.0","AARS2","false","AARS2"
,"Unclustered","0.5","AARS1","false","AARS1"
,"Unclustered","0.0","AEN","false","AEN"
,"Unclustered","0.0","AAMP","false","AAMP"
"Cluster 5","Seed","4.0","ACE2","false","ACE2"
,"Unclustered","0.0","AAK1","false","AAK1"
,"Unclustered","0.0","AFMID","false","AFMID"
,"Unclustered","0.0","AADAT","false","AADAT"
"Cluster 1","Clustered","8.0","ACAT2","false","ACAT2"
"Cluster 1","Seed","8.0","ACAT1","false","ACAT1"
,"Unclustered","2.0","AACS","false","AACS"
,"Unclustered","0.0","AHCTF1","false","AHCTF1"
,"Unclustered","0.0","AAAS","false","AAAS"
,"Unclustered","0.0","A2M","false","A2M"
,"Unclustered","0.4","AHSG","false","AHSG"
,"Unclustered","0.0","A1BG","false","A1BG"
