"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_21_P0009014",-0.955217887500002,4.317984725,-2.91275293726316,0.0139484511144524,0.955680307052298,-4.04584719943202
"A_33_P3416568",-0.525273750000004,8.013889,-2.91217178338001,0.0139630408741784,0.955680307052298,-4.04601344933833
"A_21_P0011958",0.748905762499999,3.34144495833333,2.91160227169263,0.0139773531889136,0.955680307052298,-4.0461763878187
"A_23_P55270",3.1119610375,4.82468179166667,2.91133633886424,0.0139840413398774,0.955680307052298,-4.04625247820884
"A_21_P0000540",-0.786743487500002,3.48873091666667,-2.9108617058412,0.0139959862211601,0.955680307052298,-4.04638829343249
"A_23_P117662",-1.173717625,11.3326988333333,-2.90970824803495,0.0140250574018985,0.955680307052298,-4.04671840743406
"A_23_P85682",-0.5437345625,7.04288599166667,-2.90889910373707,0.0140454867616392,0.955680307052298,-4.04695002666956
"A_23_P112798",1.0496583125,5.77166360833333,2.90726904170448,0.014086733280649,0.955680307052298,-4.04741675061113
"A_23_P104617",0.714314499999999,7.34722544166667,2.89937313397577,0.0142882517769034,0.955680307052298,-4.04967970598525
"A_33_P3283713",-0.5232616875,11.196019375,-2.89779719721688,0.0143288168692709,0.955680307052298,-4.0501317982065
"A_24_P825874",0.927156737499999,2.62923661666667,2.89750149396628,0.0143364411961517,0.955680307052298,-4.05021664316029
"A_23_P147245",-0.8672714,7.45265159166667,-2.89331827867163,0.0144447360610317,0.955680307052298,-4.05141745588936
"A_23_P132277",0.906291624999998,8.89801866666667,2.89295690410747,0.0144541296372314,0.955680307052298,-4.05152123749351
"A_24_P386771",-0.539894624999999,11.10058275,-2.89125208323188,0.0144985272906765,0.955680307052298,-4.05201093885563
"A_23_P116743",0.832982374999998,9.85040395833333,2.89006158799374,0.0145296115565284,0.955680307052298,-4.05235300168632
"A_23_P46812",0.8115649,4.51364886666667,2.88954084719926,0.0145432292442134,0.955680307052298,-4.05250265075886
"A_21_P0011768",0.77847665,5.71119208333333,2.88731602955669,0.0146015535487823,0.955680307052298,-4.05314218792226
"A_21_P0010636",-0.844812925,1.69502418333333,-2.8871184039281,0.0146067456708743,0.955680307052298,-4.05319901031052
"A_23_P58854",0.8782528,2.37404571666667,2.88648572555687,0.0146233801472546,0.955680307052298,-4.05338093645587
"A_23_P304509",1.3718997625,2.47766989166667,2.88613493860336,0.0146326112568423,0.955680307052298,-4.0534818148323
"A_21_P0011427",1.7469844875,3.178693475,2.8855820255695,0.0146471732383177,0.955680307052298,-4.05364083438806
"A_23_P367816",-0.734245125000001,10.124647625,-2.88549147802008,0.0146495593556062,0.955680307052298,-4.05366687781984
"A_24_P680657",-1.8920234375,2.63613026666667,-2.88527216484324,0.0146553403280988,0.955680307052298,-4.05372995897261
"A_21_P0012164",1.453740075,3.45752835,2.88383141030312,0.0146933745906669,0.955680307052298,-4.05414443228377
"A_33_P3303146",-1.2629929375,3.62255003333333,-2.88364222526315,0.0146983761864445,0.955680307052298,-4.05419886546354
"A_21_P0003781",-1.1045382,2.470717525,-2.88313380735223,0.0147118259682476,0.955680307052298,-4.05434515991139
"A_21_P0001029",0.832564762499999,3.524526775,2.88236648303804,0.0147321482212927,0.955680307052298,-4.05456598121282
"A_24_P402588",1.02649665,7.985344875,2.8802196124331,0.0147891564589278,0.955680307052298,-4.05518398822906
"A_24_P323997",-0.5629487375,4.06965479166667,-2.87765311388193,0.0148575971350365,0.955680307052298,-4.05592313602879
"A_33_P3409575",-1.12154155,2.09271660833333,-2.87559042837247,0.0149128321476453,0.955680307052298,-4.05651745832577
"A_23_P38244",-1.4749213125,3.339925025,-2.87183185621682,0.0150140083919821,0.955680307052298,-4.05760103902046
"A_21_P0003122",3.407263025,7.41459765833333,2.86998849867025,0.015063879877734,0.955680307052298,-4.05813276441082
"A_23_P7412",3.72847875,7.16698005,2.86984335875751,0.0150678136196673,0.955680307052298,-4.05817463890161
"A_23_P215900",0.777153937500001,8.392755625,2.8669058616895,0.015147649951652,0.955680307052298,-4.05902239615386
"A_21_P0012438",1.9523810375,4.14366923333333,2.86602842947749,0.0151715790146016,0.955680307052298,-4.05927571649189
"A_21_P0005780",0.9569587125,3.023442125,2.86503363932765,0.0151987543246863,0.955680307052298,-4.05956297147048
"A_33_P3209391",-0.561433187500001,1.82696813333333,-2.86459097512786,0.0152108624953514,0.955680307052298,-4.05969081288467
"A_21_P0009496",-1.8722716875,2.425454,-2.86309515406563,0.015251848972967,0.955680307052298,-4.06012288785862
"A_33_P3258593",-0.923110249999999,9.76380704166667,-2.86289356999659,0.0152573809401951,0.955680307052298,-4.06018112602554
"A_21_P0003280",-0.5235847875,1.606480675,-2.86150258753411,0.0152956076365576,0.955680307052298,-4.0605830469916
"A_21_P0014590",1.128830375,3.31543585833333,2.85948020671779,0.0153513570616932,0.955680307052298,-4.06116760351112
"A_33_P3319860",-0.562031224999999,4.09907639166667,-2.85865846761506,0.0153740672728232,0.955680307052298,-4.06140518786382
"A_21_P0013496",-1.5349556875,2.06732868333333,-2.85754968727687,0.0154047635797173,0.955680307052298,-4.0617258228968
"A_33_P3351982",-0.506607375,10.189363125,-2.85462807723528,0.0154859411336073,0.955680307052298,-4.06257101957817
"A_21_P0011021",0.71430775,9.95750691666667,2.85335326183399,0.0155214959069007,0.955680307052298,-4.06293996289453
"A_33_P3378835",0.783153125000002,11.8215003333333,2.85321257213042,0.015525424753498,0.955680307052298,-4.06298068537543
"A_33_P3384432",-0.560409000000002,9.8742135,-2.85190808811891,0.015561900601903,0.955680307052298,-4.06335831968629
"A_23_P360769",-0.829519687499999,8.657225875,-2.85158290848772,0.0155710065594343,0.955680307052298,-4.06345247059444
"A_19_P00809624",0.51315205,5.63237376666667,2.84832336799846,0.0156625774775618,0.955680307052298,-4.06439654891104
"A_33_P3841819",0.626884624999999,6.99391433333333,2.84652613873162,0.0157132971608489,0.955680307052298,-4.06491734418669
"A_33_P3287428",0.600600262499999,7.1006489,2.84246086052625,0.0158286292793577,0.955680307052298,-4.06609603222589
"A_23_P503182",0.585780999999995,12.2792634166667,2.84236770366764,0.0158312820233086,0.955680307052298,-4.06612305294775
"A_21_P0009870",-0.85363795,1.76596640833333,-2.8398525354208,0.0159030721671668,0.955680307052298,-4.06685277552855
"A_23_P45536",1.577552125,2.57874341666667,2.83586626785224,0.016017517795147,0.955680307052298,-4.06801002620241
"A_21_P0008110",-1.0715674375,5.75280613333333,-2.83547851806463,0.0160286938439517,0.955680307052298,-4.06812264062276
"A_33_P3249529",-0.535025062500001,11.636226375,-2.83410781179241,0.0160682638892798,0.955680307052298,-4.06852080248952
"A_33_P3376131",-1.04380685,5.20520141666667,-2.83331612191066,0.0160911630667189,0.955680307052298,-4.06875081944202
"A_21_P0007846",-1.52729095,2.58366120833333,-2.83225183879171,0.016121998158305,0.955680307052298,-4.06906009005771
"A_23_P78867",-0.589401112499999,5.11324485,-2.82940885225408,0.0162046563231093,0.955680307052298,-4.06988654201781
"A_21_P0005731",-0.913211037500002,3.73270129166667,-2.82719257530036,0.0162693863711079,0.955680307052298,-4.07053111982138
"A_21_P0006586",0.869510937499999,2.82239765833333,2.82624730948935,0.0162970728185539,0.955680307052298,-4.07080612148981
"A_33_P3397593",-0.994149375000001,2.947936975,-2.82613676680452,0.0163003136356212,0.955680307052298,-4.07083828435866
"A_21_P0002915",0.8972739125,4.49209308333333,2.8260788203459,0.0163020127281851,0.955680307052298,-4.07085514439837
"A_21_P0013567",0.794972499999998,10.7983654166667,2.82481147497555,0.016339217739544,0.955680307052298,-4.07122393607068
"A_21_P0000142",0.68150155,6.97293621666667,2.8228907367663,0.0163957656412704,0.955680307052298,-4.07178303042154
"A_21_P0007835",0.6454327625,5.30828373333333,2.82208017758952,0.0164196875929777,0.955680307052298,-4.07201903127963
