PROBE,logFC,AveExpr,t,P.Value,adj.P.Val,B
1552499_a_at,0.0015124999999987,5.18393625,0.0108329551375712,0.991586960045355,0.999986929681086,-4.83119682960499
1552501_a_at,-0.0587274999999998,6.72030875,-0.464661967717193,0.652925792732205,0.999986929681086,-4.78703140190166
1552502_s_at,-0.111025000000001,4.57813,-0.747594091720983,0.473296142143127,0.999986929681086,-4.72011445145346
1552503_at,-0.0340324999999995,6.03520875,-0.269268458935956,0.793638128091304,0.999986929681086,-4.81619613326744
1552504_a_at,0.122575000000002,5.872825,0.854498160461859,0.414428557382836,0.999986929681086,-4.68811484557422
1552506_at,-0.0896774999999996,4.45703375,-0.757296482420087,0.46773890837924,0.999986929681086,-4.71735079219557
1552507_at,-0.0717125000000012,5.19163625,-0.483946721651288,0.639684303675484,0.999986929681086,-4.78336269790391
1552508_at,-0.0469125000000012,6.51029875,-0.147490925041864,0.885912041841235,0.999986929681086,-4.82669329952066
1552509_a_at,-0.00399250000000073,3.85995625,-0.0387479755443866,0.969915415166303,0.999986929681086,-4.83090822980102
1552510_at,-0.0465399999999967,9.1415,-0.324223581457343,0.752986272376374,0.999986929681086,-4.80949912210225
1552511_a_at,-0.0149024999999989,3.13727875,-0.119387204908594,0.907523449494462,0.999986929681086,-4.82825252747548
1552514_at,-0.0647449999999994,3.61997,-0.751241027277823,0.471202320074236,0.999986929681086,-4.71907903791741
1552515_at,-0.0136200000000013,4.751085,-0.116411555455005,0.909816716079221,0.999986929681086,-4.82839849910781
1552516_a_at,0.0410800000000027,4.8406275,0.272132172945428,0.791502229891054,0.999986929681086,-4.81587691947221
1552518_s_at,-0.0249724999999996,4.02755375,-0.219542399841585,0.830999758927288,0.999986929681086,-4.82121191838698
1552519_at,0.218805000000001,5.3362,1.11674705649529,0.292291979731007,0.999986929681086,-4.59677296202092
1552520_at,-0.046102499999999,4.77162125,-0.400685099610203,0.697756749112159,0.999986929681086,-4.79820476833428
1552521_a_at,0.00527749999999916,2.75229875,0.0492833897483844,0.961742092404098,0.999986929681086,-4.83071487974826
1552522_at,0.1391125,2.43186625,1.61737276720322,0.139366278680468,0.999986929681086,-4.38733248181471
1552523_a_at,0.0586899999999995,5.14316,0.566343153898672,0.584648434736435,0.999986929681086,-4.76616277045628
1552524_at,-0.242355000000002,7.1640125,-2.3174510871475,0.0449601328408783,0.999986929681086,-4.06879017051542
1552526_at,0.168712499999998,5.25776875,1.4323577220191,0.184982000214014,0.999986929681086,-4.46853471337915
1552528_at,-0.00774000000000008,6.789795,-0.0664399931688601,0.948442591556113,0.999986929681086,-4.83030107393138
1552531_a_at,0.0958824999999992,4.50673125,0.517812043339626,0.616755146598785,0.999986929681086,-4.77658969195728
1552532_a_at,-0.123399999999999,4.0496575,-0.950629889114075,0.365987743128125,0.999986929681086,-4.65659998454382
1552535_at,0.00975000000000037,6.175535,0.086538138915632,0.932884514029369,0.999986929681086,-4.82966054821457
1552536_at,0.146887499999999,5.33416875,0.973756158112348,0.354972417092618,0.999986929681086,-4.64866000807138
1552538_a_at,-0.1025975,4.06088375,-0.711339509536963,0.49443443038372,0.999986929681086,-4.73018264585985
1552540_s_at,0.0066374999999983,6.13435125,0.0493181616706849,0.961715123748221,0.999986929681086,-4.83071416503443
