Gene_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,Is_Significant,Gene_Class
HCG20,5.950250392876073,-7.594080837799873e-7,0.001442689356986798,0.7089102017827057,0.9802205185694565,FALSE,Not Significant
HCG21,1.6537915123950264,-1.7889728399869446e-6,0.001442693946351337,0.1094937282363317,NA,FALSE,Not Significant
HCG23,8.399745458778023,1.361345774998234e-6,0.0014426883731739526,0.5460230016281931,0.9749914721482018,FALSE,Not Significant
HCG25,10.902035919405202,1.3559956091690026e-6,0.0014426854156217527,0.61004585606461,0.9795409913114117,FALSE,Not Significant
HCG26,15.83874253783297,-4.498789869547728e-6,0.0014426913985155691,0.04940490673761132,0.7944047408390991,FALSE,Not Significant
HCG27,6.301988662116486,-3.050775999871692e-6,0.0014426935358927415,0.04781845387275139,0.792779629995615,FALSE,Not Significant
HCG4,11.269817685552914,-2.2302195004407534e-6,0.0014426922447365951,0.1721455726002024,0.9134700405316409,FALSE,Not Significant
HCG4B,5.9856002871805325,-1.4124108681231736e-8,0.0014426911282580629,0.9302514208458783,0.9961202627091326,FALSE,Not Significant
HCG9,0.15318339943874226,8.669645340507638e-8,0.001442694931110331,0.9845193520343001,NA,FALSE,Not Significant
HCK,15.638219548474547,-3.1535151729878805,0.532119001613588,0.006739163570619547,0.414421270093737,FALSE,Not Significant
HCLS1,31.612575139654925,-2.927357655212416,0.3291182383550806,0.5250257264031394,0.9746201639455591,FALSE,Not Significant
HCN1,1.3903464954098246,-1.0570754335944087e-6,0.001442694570193268,0.21020009931248393,NA,FALSE,Not Significant
HCN2,59.84967011516565,-7.094859748371568e-6,0.0014426832637928276,0.06622261347389657,0.8256727641042584,FALSE,Not Significant
HCN3,68.92552943193463,3.6403687461300698e-6,0.0014426718212644189,0.3911039653577258,0.9632027564241908,FALSE,Not Significant
HCN4,25.212833039971812,-7.936763850359866e-7,0.001442689241259025,0.695486139753544,0.9802205185694565,FALSE,Not Significant
HCP5,109.20487656891703,-0.7211492881585819,0.3992734281680792,0.0016309072178162607,0.24550205110667783,FALSE,Not Significant
HCP5B,1.3696515541313532,-2.263256538965943e-6,0.001442694868200175,0.02182802307738486,NA,FALSE,Not Significant
HCRT,0.9302161811005676,-3.503622901936936e-7,0.0014426942240829716,0.6520190409466697,NA,FALSE,Not Significant
HCRTR1,2.466093766585777,-5.194051487464758e-7,0.0014426916214406334,0.7742706479241575,NA,FALSE,Not Significant
HCRTR2,0.681321277908434,2.6491549284358028e-8,0.0014426943895108177,0.9245942283747977,NA,FALSE,Not Significant
HCST,13.941765747573381,-8.751134322750964e-6,0.0014427033611489626,0.42618323616573084,0.9688813272657867,FALSE,Not Significant
HDAC1,2723.514615926042,1.675840615011089e-6,0.0014425569007549377,0.8678102897058672,0.9873407478340492,FALSE,Not Significant
HDAC10,301.3524817809878,-6.4883835112227955e-6,0.0014426780371874712,0.12188585856078268,0.8939027942443555,FALSE,Not Significant
HDAC11,434.7359984510029,-6.485527336069056e-6,0.0014426354941795368,0.35007436030857414,0.9539824783009352,FALSE,Not Significant
